Id,Name,Type,Industry,AnnualRevenue,NumberOfEmployees,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Website,CreatedDate,LastModifiedDate,OwnerId,IsDeleted
e88514cc-7b5f-4ccf-9857-02d83f980601,"Mccormick, Fischer and Brooks",Partner,Healthcare,39713471,1675,93457 Herrera Mission Apt. 709,Robinsonmouth,Utah,36044,Equatorial Guinea,915.717.1606x8700,http://greene.com/,2024-03-26T01:55:30,2024-10-20T02:10:14,1e413f20-c16b-499f-a086-92857950776c,False
74cda76a-43c5-4561-804d-5be2e739ad76,Wiley LLC,Customer,Retail,47544917,9918,2624 Long Station,Tammyton,Wyoming,87865,Ecuador,+1-958-445-2371x45759,https://kelly.com/,2022-08-12T11:47:28,2022-10-20T04:30:37,bc43697f-22f7-415c-a1f8-2b89d099a7b0,False
6677277e-6160-40cf-8877-1a1cbf6f40a0,Salazar LLC,Customer,Healthcare,43969901,8769,42333 Graves Vista Apt. 168,Julieburgh,Indiana,17496,Palestinian Territory,(390)296-8591,http://www.smith.com/,2024-09-17T23:30:37,2025-06-25T17:18:18,284ed784-29f8-4103-90a0-1f222968c9bd,False
4d90266f-3b6c-43da-bcea-a8cd37078a4e,Clark-Hernandez,Competitor,Healthcare,45562464,4076,3940 Wood Path,South Bradley,Hawaii,83059,New Zealand,(612)715-7755x255,https://www.powell.com/,2025-08-15T02:57:08,2025-11-02T21:33:34,8abfb567-f91c-4e69-a8dc-704f48a64862,False
dbd4f450-8177-4c65-808a-bb793f358038,Arroyo Group,Competitor,Healthcare,7408686,134,68050 Rivera Stravenue,East Steven,Florida,96302,Marshall Islands,754.730.9455x41342,http://kelly.com/,2023-06-04T01:57:58,2025-03-10T21:20:33,564f7ed3-ffdb-470a-8601-c553a099eb20,False
b8cbd022-df99-48b8-a5d2-84efd4927c35,"Davis, Smith and Larson",Competitor,Manufacturing,10150626,5717,90188 Stanton Brooks,Cobbmouth,Arizona,78546,Cayman Islands,001-856-509-7764x531,https://jones-rodriguez.com/,2024-04-11T00:52:28,2025-03-01T17:48:57,a52ab689-b1c4-4bdd-88f2-c8a034f0cc6b,False
0e83a542-5bd5-41f2-a80d-348cf34ee0a2,Forbes-Carrillo,Partner,Technology,9310372,4982,2005 Cody Plaza,Victormouth,Arizona,24392,Rwanda,(681)441-1756x2466,http://kirby.com/,2025-08-01T04:04:12,2025-10-11T15:16:44,a3294801-6af7-48f4-adb5-8308e3102c64,False
1883fdb8-a974-4527-ae37-6f112012d36e,Manning-Martinez,Partner,Manufacturing,27722202,720,627 Christine Lock,North Williamshire,Texas,86504,Uruguay,949-377-4523x5013,http://www.johnson.com/,2023-05-20T13:09:59,2025-09-29T22:17:34,c24edddb-0270-4ae6-80bb-fd04b9d5ae93,False
616e9911-9cdf-4504-bb8a-52a251e87348,Snyder-Mills,Competitor,Retail,3128617,1712,042 Micheal Pine,Weberport,Florida,32931,Peru,777-811-7518x828,https://www.jackson.org/,2022-01-18T00:12:45,2024-08-14T00:39:42,11419811-ff42-445c-8328-b65ce5cc5a38,False
967bc132-0405-4c88-91db-9d00cbbc16fd,Gilbert-Holloway,Customer,Technology,1348455,4113,980 Jamie Stravenue Suite 753,East Davidmouth,Wyoming,64478,France,668.425.8740x7423,https://ryan.com/,2025-04-28T00:05:02,2025-11-14T01:27:25,caf1e821-14c0-4e93-89ff-843fc799c9df,False
99f7e5db-1330-4814-8d3b-65e42893c843,"Perez, Wright and Brown",Prospect,Finance,39636745,2748,740 Hill Spring Suite 743,Timothymouth,Missouri,41695,Armenia,437.384.7301x9219,https://www.sanders-smith.com/,2022-12-09T11:03:52,2023-03-12T03:43:02,cdd0a175-b1e5-457d-8815-bdf872a7b827,False
67061c5a-ab7a-46a3-9358-60df2da4f4c0,"Anderson, Owen and Dalton",Customer,Retail,45764060,501,743 Daniel Curve,Amystad,New York,43591,United Kingdom,001-896-303-7110,https://www.jenkins.com/,2023-02-27T22:24:25,2024-01-23T17:16:47,3e04913e-6760-4530-8135-342106170290,False
e44cd92a-13cf-49f6-9a34-50836b5fd5e3,Smith Group,Customer,Retail,10350725,7419,09519 Laurie Curve,Smithport,Delaware,29548,Mozambique,+1-712-403-5307,http://www.morton.com/,2022-06-12T15:43:43,2024-03-05T14:55:14,50a92d1d-a5f0-4c50-b192-0e3ee6b8fd8f,False
941a5bf1-e6cc-46cc-bbf9-a7aadc083c24,Campbell and Sons,Partner,Manufacturing,3984836,9688,974 Anderson Vista,North William,Oregon,52940,Turkmenistan,353.591.7880x5503,https://nelson.net/,2024-11-06T23:27:46,2025-05-25T19:28:26,05b04ad5-2ee8-4c43-918b-63892b6c1a3a,False
34363ab1-8aea-48ca-9a5c-487700dae9a1,"Duarte, Cline and Jones",Customer,Technology,10847892,6635,06434 Lori Village Apt. 290,Lake Amber,Oregon,60734,Hungary,001-771-650-1963x855,http://www.byrd.com/,2025-03-03T23:15:22,2025-03-30T02:43:07,e49db830-526d-4dc5-b868-dd7c752f914b,False
0d268752-f2e1-452d-8030-5e8027de2f89,Clark-Haynes,Customer,Finance,36063569,3511,469 Maria Motorway,New Susan,Texas,28300,Turkmenistan,+1-875-673-2839,https://zamora-haley.net/,2024-04-08T23:56:29,2024-06-18T05:28:36,ced76c2a-be4b-4839-a819-734556df8c77,False
f8f421fb-1b17-46e4-8926-9bbc46ea9811,Mata Group,Partner,Finance,1019446,5744,194 Brooke Heights Apt. 190,North John,Nevada,33396,Turkmenistan,+1-240-620-2220,http://www.morrison.com/,2022-08-18T16:39:53,2022-10-04T19:37:40,3134ebb3-9789-410d-b6cf-5e156ab123e5,False
09725e14-9870-4000-bf7c-a11d0ee351da,Powell Ltd,Prospect,Retail,12889548,9835,04999 Joe Points Apt. 897,North Samantha,Oklahoma,47708,Slovakia (Slovak Republic),(610)792-0706,https://www.huff-haynes.com/,2022-12-03T02:56:59,2023-11-14T05:17:32,611f8ed0-23d9-4b57-8f8e-a75bfefe8e26,False
776137a6-6fd2-45d6-a0b4-4c04414146b9,"Huynh, Howard and Cohen",Competitor,Retail,39223581,6936,38952 Bonnie Islands,New Elizabeth,Montana,43853,Honduras,+1-899-931-1566x0129,http://king.com/,2024-05-31T14:10:36,2024-07-05T11:15:06,abadc1f1-8f58-41c6-a4e1-c71ca8692c10,False
566959ac-21f1-4f88-bf7b-490168dfc8b9,Webster and Sons,Prospect,Retail,26068471,9433,03193 Anna Shore Apt. 631,Michaelville,Oklahoma,90102,Brazil,891.877.8183x90781,https://www.wang.net/,2022-10-24T22:20:12,2023-09-19T14:20:00,e5a88e9b-ada8-4e93-8272-a8836babfa16,False
cd48dd12-fe5a-4ce9-89b8-297473f219cf,"Smith, Clark and Perry",Partner,Technology,24772427,5972,90177 Penny Dam,South Lorifort,Nebraska,97461,Nepal,5799245492,https://brown.com/,2023-06-04T08:17:53,2025-10-21T03:52:15,6cc8ce21-8f66-4aeb-8b33-4451d20c6399,False
e30ef866-2897-41d2-b9cd-25de2efac2a8,Powell Inc,Prospect,Manufacturing,1592795,5258,2070 Bean Plain,Morrisport,Montana,93700,Paraguay,001-854-915-7778x31525,http://martin-huber.info/,2024-09-24T05:26:24,2025-11-26T14:58:44,22c62aa0-5670-4ad1-be2b-5672351048bf,False
ededda23-d972-4773-ad87-adac825ad3f6,Chaney-Crawford,Competitor,Technology,31398241,104,796 Anthony Keys,Torresshire,Mississippi,41806,Bermuda,001-369-542-2594x8831,https://www.johnson-adams.biz/,2023-06-14T00:00:13,2023-11-19T13:22:14,692d349d-2db6-4f3f-9ed2-63eea927aae1,False
52fe7a5f-42be-402b-b222-b7ff879d5bcc,"Quinn, Ward and Cooper",Prospect,Technology,19337110,2455,927 Hoffman Street,Jamesstad,Oklahoma,77563,Algeria,2724333770,https://www.hall.com/,2024-01-10T22:38:46,2025-08-13T17:08:08,c69f6fc7-785e-4a63-9a77-7a26d112da8d,False
e9839a8a-9bab-4aac-8c1b-c99aabf1dc80,"Ramirez, Douglas and Johnson",Competitor,Manufacturing,8531882,8186,803 Jessica Flats Suite 378,Hayestown,Arizona,98860,Kyrgyz Republic,274.513.7659,https://www.johnson.info/,2023-09-18T22:21:13,2024-04-17T09:41:39,3cb80540-6298-4a34-9e7b-d04d8890f18a,False
29c72227-5c03-4fce-84e2-469ce66a7fa9,Watkins LLC,Customer,Finance,35537700,4711,095 Thomas Parkway Suite 847,Tyroneside,Rhode Island,53036,Bangladesh,+1-562-780-4501x91472,http://www.roy-wilkins.com/,2023-06-09T22:44:29,2023-12-26T20:52:54,233a4b18-515c-4488-a321-952bcdf2c210,False
dcd3791b-9171-40dd-a5d4-1ff55433a590,Chandler Inc,Prospect,Finance,42695961,2671,52068 Dodson Passage Suite 065,Thomasmouth,Alabama,02215,Slovenia,(665)278-4277,http://brooks-davis.com/,2023-01-05T02:42:31,2025-11-06T21:10:42,b75d1429-9185-4282-b6dd-518ede03760b,False
288b2d0f-23d8-4e92-8dd7-ec2b364cb493,Wagner-Wood,Competitor,Retail,22015967,3050,67654 Medina Center,Daniellehaven,Oregon,56446,Guam,827-258-2213x59951,https://harris-griffith.info/,2024-07-24T20:55:01,2025-10-04T18:18:13,f56f8f95-d1c5-45a8-9409-ac0787d70566,False
e5ed410b-fdfe-42cc-a5d0-c28ad32254d8,Thomas-Caldwell,Prospect,Manufacturing,45896078,8794,266 David Road,Perryberg,Iowa,12125,Comoros,(960)862-2917,http://mcdaniel-moore.com/,2025-10-16T20:11:39,2025-12-11T11:36:18,24d5b2b5-c3e1-4bdd-b517-891eb40e4719,False
6e93573f-c297-467b-a8ba-4c7dc73bdce6,Mcmahon-Smith,Prospect,Finance,11390461,3461,29802 Laura Island Apt. 425,East Karenmouth,New Mexico,70556,Thailand,9733716043,https://wood-sharp.biz/,2025-10-10T21:22:32,2025-10-21T17:54:49,38ae1e14-5b40-49f7-9b30-fe0576d09e95,False
c40c7078-4ac2-4737-8b2c-379dcc4d1b05,Rodriguez-Hart,Competitor,Finance,13667639,256,023 Hernandez Mall,Cantumouth,Nevada,67558,Israel,001-650-263-9498x9855,http://www.hernandez-huber.com/,2022-05-29T15:51:43,2025-12-05T13:45:49,a1607e7f-75d4-421a-bdd2-b1a21f1c5bbe,False
96fa7c7a-1c2f-435e-bdd4-4d6cc419f8f6,Parker Group,Partner,Healthcare,17408892,5032,750 Cooper Vista,Lake Andrea,Alaska,96564,Russian Federation,9772021161,https://www.woodward.com/,2022-04-12T02:42:44,2024-05-05T08:37:27,201f95e9-88f2-4c18-a657-e55bfe7742b4,False
c6ac31bc-3161-4c84-a8aa-1fe8f27393ac,"Turner, Lewis and Hoover",Customer,Finance,7196673,527,494 Ross Courts Suite 993,Amyport,Maine,86007,Ecuador,767.483.4322x7397,https://jordan.com/,2025-11-19T01:18:01,2025-12-04T16:41:54,e6e34b10-c394-4885-a961-b2dc9307ed16,False
fa6c6156-acfa-447e-96ab-2df1a249a62d,Baker-Garrison,Customer,Manufacturing,37528094,1476,7619 Berry Stravenue Suite 766,Lake Jamestown,New Mexico,26687,Lithuania,780.722.7348,http://snyder-ball.com/,2022-03-31T10:54:00,2024-07-14T18:27:59,31b70151-538a-4a01-858d-dbe2e725d7af,False
c20f477b-845f-45a2-8ee6-ca2ba72996e7,Nguyen-Marshall,Competitor,Healthcare,38595076,6761,1664 Miller View,New Ryantown,Oklahoma,89476,Montserrat,795-696-7807x78176,http://www.crosby.com/,2025-09-18T11:58:03,2025-11-21T22:57:52,4fd2dab0-4cfe-4219-bc47-74b6e7956481,False
dbebd26e-97b1-4ba9-b06d-e584d41ac735,Jackson and Sons,Partner,Retail,31147472,1214,334 Mercado Lodge,Michaelshire,Oregon,67774,Lebanon,393-639-7886,https://parker.com/,2022-12-20T02:54:16,2024-08-11T03:00:33,17ac4e95-90b6-41bc-8aaf-bbe138525762,False
20d52f97-82df-429a-b1b3-12ef451c8c02,Brown-Kemp,Competitor,Finance,12516788,1987,71023 Eric Forks,Hawkinstown,Kentucky,81352,Bangladesh,(950)683-4478x768,http://miller-martin.net/,2023-01-30T05:07:31,2025-02-15T12:16:36,862bc1bd-5830-4b1e-88bc-8296369b19e2,False
9d49b075-c9d4-4cf7-bb8a-b270a4882e51,"Lopez, Brown and Robinson",Partner,Healthcare,44462482,4397,5476 John Streets Apt. 243,Santanaville,Ohio,84800,Bulgaria,657.984.1125x471,http://www.dunlap.net/,2024-02-23T02:20:42,2025-04-05T21:43:00,c71a426f-d45d-4f05-9064-6da98465a562,False
b9c1dae8-9c96-47d1-9557-44e9274dd53b,"Morales, Luna and Bishop",Customer,Manufacturing,26304549,9565,64028 Nicholas River,North Daniel,New Hampshire,77102,Namibia,888.738.0882,http://love.net/,2024-08-02T14:18:11,2025-06-09T17:45:13,8fedf5af-c9c9-43cf-9231-ba02bfe61bfa,False
86e97639-efb4-461d-8de7-bf76453d9d9e,"Young, Hayes and Fitzgerald",Customer,Technology,7633272,5056,0806 Lynn Station,Floresbury,Alabama,99165,Oman,775.801.9838,http://carroll-guerrero.biz/,2025-12-26T08:38:09,2025-12-27T07:20:20,83c39a85-884f-406f-8961-2ee160938bce,False
7eaf361a-8bda-475f-b9f0-bf68cc23c844,Patterson Group,Competitor,Healthcare,5817632,695,4142 Munoz Motorway Suite 078,North Kimberlyport,Florida,30792,Guinea,795-964-7545x252,https://www.bishop-grimes.net/,2022-03-22T16:13:39,2024-11-18T06:35:47,4060aae8-74df-4241-a938-570a6da714dc,False
3171342f-3ad5-44f6-a480-6c7e23c698d2,"Benitez, Mcgrath and Cole",Prospect,Finance,32917407,5733,023 Davenport Lane Suite 562,Lake Gary,North Carolina,67258,Oman,+1-629-342-1165x625,http://www.miller.com/,2025-07-01T03:55:51,2025-12-25T09:56:09,936ac3c3-cfb6-4020-af56-0110a44e8d8d,False
4a27897a-6766-4817-9ff2-5eada90e2dc7,"Garcia, Roberts and Gallegos",Prospect,Technology,40829334,7033,248 Adam Locks,Port Tracy,New Jersey,29215,Mauritania,001-601-772-9648x178,https://www.little-gonzales.com/,2024-10-19T20:18:53,2025-07-01T21:35:14,8bc60ee8-40ab-4160-8039-3b7c9776e915,False
7aeb5aec-c24f-4903-bbc4-1a3ffe3a7128,Long Inc,Partner,Technology,18878017,7121,60933 Lindsey Stream,Michaelmouth,Oregon,39824,Western Sahara,+1-396-567-9988x642,https://frye.com/,2023-09-03T16:35:37,2025-12-25T17:39:44,2c1c0e54-b366-40d7-aeed-484dd29fce82,False
c1335b30-661e-4ecf-b0b5-63a9d766af1c,Stevens-Turner,Prospect,Finance,27390178,2134,3567 Black Underpass Suite 950,Martinberg,Vermont,73863,Western Sahara,+1-268-380-5647x148,http://www.atkins.biz/,2023-08-07T17:27:35,2024-10-20T16:51:34,6b88e650-b6e6-4d4e-9f7f-528218d4d362,True
18e75dad-1dd5-49eb-975f-7b6e454e7a55,Peterson-Martinez,Customer,Technology,32601824,9746,18279 David Locks Apt. 622,Port Angelica,Texas,91517,Canada,001-208-842-5197x718,https://www.forbes.org/,2022-11-21T09:13:18,2023-10-21T05:04:54,32efe9d2-7265-4f3d-b2c4-eac4a0f1f584,False
fe1c001d-ecbb-40dd-8ab0-50f3e17411fd,Wood PLC,Competitor,Healthcare,4147481,3729,0696 Mueller Flats Apt. 454,Port Robinside,North Dakota,62504,Zambia,537.786.5578x88735,https://www.davies.com/,2024-05-03T06:44:07,2025-02-13T14:45:09,707db6aa-a7b2-4ed9-a266-ce100ae53915,False
93ee38b4-aad6-4219-88a3-feaf227f71dd,Phillips-Williams,Partner,Technology,2803062,155,10456 Jeffrey Burgs,North Amandachester,California,91286,Saint Kitts and Nevis,(732)734-7655,http://www.colon.com/,2025-03-25T17:23:19,2025-06-12T07:56:42,061b5cb2-f12c-49dd-9551-c8596bda48db,False
54eebd85-ea1a-4592-99c4-e43df1ee85d0,Orr Ltd,Customer,Technology,3346590,2219,28343 Dickson Route Apt. 384,West Jamiestad,New Mexico,14528,Mongolia,001-796-975-7107x74072,https://cox.com/,2024-10-08T18:26:29,2025-11-08T03:56:54,6dde1d21-5d6a-4b01-842d-b4006609c029,False
60207b01-2610-4286-bbdb-cce186d50660,"Clayton, Zhang and Wilkins",Prospect,Finance,35896893,7779,18336 Stephanie Brook Suite 617,East Nicoleshire,Virginia,75443,Sri Lanka,902.803.1667x53100,http://watson-owen.com/,2022-10-20T07:00:18,2024-08-02T17:52:24,c8fc9450-afca-4271-b6e9-fbcc316b06dd,False
d14fe411-1a9c-43bd-9f39-ee0c25dd2a10,"Delgado, Kelley and Meza",Partner,Technology,31581292,5215,9897 Brandy Alley,Lake Tiffany,New York,75915,Guinea,+1-231-625-8678x2606,https://www.powell.com/,2022-08-08T16:50:00,2022-11-13T18:18:36,9860250f-a081-4987-b8c5-8a173d055503,False
d18abcdc-8f4a-4b75-957b-0d0ae10af7af,"Frank, Stokes and Robinson",Customer,Healthcare,29020273,5868,9919 Amber Landing Suite 647,North Johntown,Utah,07978,United Kingdom,+1-876-630-8734x0892,https://www.pierce.com/,2024-03-21T10:44:00,2025-04-02T07:49:14,932e2dc3-b2af-4864-8aff-ce5400487418,False
ab756edb-73bb-4e07-9352-e85683a70116,"Valenzuela, Roberts and Peterson",Prospect,Technology,10435160,6119,3153 Briggs Cliffs Suite 994,Natashaborough,Indiana,48412,Tanzania,687.959.4460x76776,https://forbes-graham.com/,2025-05-05T09:34:01,2025-10-27T21:19:53,d688839f-06f5-4f3a-b656-e8dd38aaebf3,False
bf83a92f-c0d2-441a-b401-b535bbe89ac4,Davis Group,Prospect,Healthcare,17718171,7963,05413 Joanna Stream Suite 882,West Josephbury,Tennessee,39177,Tonga,+1-296-612-6283x58719,https://www.paul-flores.biz/,2023-01-18T00:54:30,2023-08-15T10:33:33,a8ca0a3b-8ab8-49cd-aea9-2f87e8b17493,False
4830c101-f234-4338-aa7e-9e9d7744892e,"Osborne, Stewart and Johnson",Partner,Technology,43172135,7101,4756 Davis Manor,East Matthew,Washington,95857,Guernsey,244.206.0317,https://goodwin.com/,2025-04-26T11:00:32,2025-07-06T18:56:43,664bbd59-0d5f-4884-9191-85af6209b8e0,False
3cc5c98b-dd8b-40aa-aca7-bc4f918a8cbf,Munoz Group,Customer,Technology,31127045,9651,60226 Lee Heights Apt. 035,Shawnahaven,Vermont,25187,Congo,3064526695,https://ramos.com/,2023-07-11T15:41:34,2024-12-24T09:51:00,7d744849-3d80-4934-820f-7459c2d9d6df,False
7ac38c88-5cd8-4a96-892a-46afaab8616d,"Henderson, Mccarthy and Williams",Competitor,Finance,40943314,6450,05379 Vincent Inlet Apt. 220,Scottland,Alabama,61470,Palau,2568141879,https://www.finley.net/,2022-05-26T13:20:21,2025-05-22T19:37:41,0df3241f-718f-4505-8211-8aebe45a39ab,False
0882af06-db5c-48cf-add9-49896a080702,Doyle-Murillo,Prospect,Technology,26433626,2839,179 Torres Grove Suite 627,Karenborough,North Carolina,79105,Bolivia,001-362-859-5299,https://hawkins.com/,2025-12-02T15:24:51,2025-12-18T02:50:04,aee2faa6-2a92-402d-afdc-3ce09b568fc8,False
e14a5623-777a-4056-93ce-b2d83b5b08a6,Crawford-Martin,Prospect,Technology,35642028,6466,20818 Tyler Falls,Port Jenniferview,Nebraska,90421,Mongolia,001-715-917-2736x52974,https://young.com/,2023-05-18T08:57:06,2023-10-15T05:25:23,739c5b2b-fbbf-4b09-ba33-a5bf5c6decfa,False
aca5f7fb-a279-4ad8-92e6-8302e7255a6f,Sanders LLC,Prospect,Healthcare,10364777,4996,3476 Silva Route Apt. 014,Stevenborough,New Mexico,64114,Armenia,756.577.9041,http://www.smith.com/,2022-01-21T04:09:23,2024-10-30T14:20:24,c6b2bfc8-10f1-436e-ae0b-380e9ad03a34,False
26ed6c2c-dbcf-43df-ad5e-a9a95138f747,"Curtis, Martinez and Fields",Competitor,Retail,22682665,6164,8474 Kristina Light,East Sarah,Louisiana,64869,French Polynesia,(863)677-8578,http://wallace-bullock.com/,2024-03-07T19:52:06,2025-04-05T12:28:36,c13a5b17-2ffa-4f99-b3c2-5a6b41a0aed5,False
6f4143d8-25ff-4998-964e-c31329eabd22,Long LLC,Competitor,Finance,15199646,1054,36881 Bianca Oval Apt. 461,North Deniseburgh,Oklahoma,46081,Belarus,(282)400-4476x4264,https://harris.com/,2024-11-01T14:04:37,2025-10-16T16:41:02,73ba4816-730e-4341-acdf-6d9afe45632d,False
507798a5-430a-4040-b520-d7bb27f3e1e2,Green-Pope,Competitor,Finance,7282180,6114,1664 Jenkins Rue Apt. 793,Torrestown,Louisiana,82373,Palestinian Territory,231.990.5384x896,http://smith.biz/,2022-03-02T02:49:19,2022-12-11T12:49:21,62122498-4516-4a0d-9684-aeec1e0bd57b,False
8288d47f-960d-4aeb-83b9-07153128ca80,Rios LLC,Customer,Finance,14365175,8007,3507 Maria Mountains Suite 809,East Victoriafort,Oklahoma,91033,Niger,(861)714-0268x8791,http://adams.info/,2022-02-08T08:02:21,2022-07-09T12:27:18,f98123f3-9bc0-4861-8df5-d3bb05319466,False
67febcab-af99-4564-804c-ce3f362bfa53,"Cole, Rivera and Simmons",Competitor,Retail,34298819,7039,7447 Cindy Springs,Robertport,Nebraska,74647,Bulgaria,+1-688-475-5497x480,http://thomas.com/,2024-01-18T06:00:08,2024-11-02T08:17:24,1c15834a-0758-461a-aff6-cc9b887a59a7,False
a5d9397e-6357-4e75-a62a-341494e20c09,Armstrong Ltd,Prospect,Finance,43207116,6983,96278 Margaret Ranch,South Brendan,Florida,64347,Montserrat,+1-953-607-3113,http://keller-cruz.com/,2024-03-16T13:35:05,2025-11-04T16:58:18,899cecbc-9ec0-4cdb-b115-5800526cedc1,False
8dd3c378-7a31-4fc2-a13c-4d385146a1b1,"Park, Kennedy and Powers",Prospect,Retail,12385537,5869,058 Fernandez Mills Suite 523,North Michael,Tennessee,76941,Christmas Island,(545)886-5324,http://www.perez-williams.com/,2023-05-14T23:25:44,2025-04-02T09:40:45,c22180d7-490e-4cb6-a2aa-2ac29a96cf3b,True
086235e2-9675-4aab-9232-f47095512cd1,Dunn-Reese,Customer,Retail,45295477,9867,57743 Julie Pines Suite 031,Williammouth,Kentucky,85440,Sudan,404-632-7225,http://steele.com/,2022-11-05T11:44:17,2025-05-13T06:41:20,29c51dde-8ab5-423a-afbc-bb91c0c5d032,False
44c89eba-89e7-4c9e-aaee-c94fcaa35f63,Wright-Cowan,Partner,Retail,37685304,7759,18582 Odom Tunnel Apt. 139,Floydmouth,Washington,13691,Finland,410-899-2188,http://sherman.net/,2023-06-17T01:00:10,2025-07-28T06:32:32,23550b5c-874c-4b2c-a5ef-c4956ad4b635,False
61bea3ab-b179-4423-8100-6a266af2ddb1,Walters-Martin,Customer,Finance,19443481,2956,392 Ashley Ferry,Michaelmouth,West Virginia,49680,Congo,708.340.2385x4636,https://thomas-watson.com/,2025-11-04T07:15:10,2025-12-14T21:47:22,b82ca118-9f74-4292-b0f6-12e98018e2cc,False
0be2d82a-f9c1-4bf7-9ffc-b108eb0e15f3,Huff Ltd,Prospect,Healthcare,18328020,3522,0201 Jonathan Causeway Apt. 262,Port Kristyview,Virginia,73134,Cote d'Ivoire,001-466-910-2834x1784,http://www.knight.org/,2025-12-17T18:06:52,2025-12-25T07:03:52,9539c8c3-ce7b-476a-8b9b-c062d8b62df8,False
0aa5f1b1-46a6-44af-b46f-97985230cdb2,Ryan Ltd,Competitor,Technology,8842646,4366,1410 Harris Place Suite 159,East Brianstad,Florida,93349,San Marino,001-649-619-8159x457,http://www.taylor-silva.com/,2025-12-27T14:29:03,2025-12-30T23:28:13,dcaf5aac-3562-4c24-bd79-76da57d6af68,False
86098b88-f3f2-4853-ad51-f899cb0f59b4,"Mills, Smith and Martinez",Customer,Healthcare,26363960,411,585 Jeffrey Spring Suite 619,New Shannonberg,Nebraska,07863,Guernsey,865-994-7342x7908,http://www.barry.com/,2024-11-25T20:33:58,2025-09-09T15:15:53,b805d935-8b43-4f28-82d5-47643226484e,False
